Statistic,County,Region,Subregion,2014,2015,2016,2017,2018,2019,2020,2021
Commencement Notices,Mayo,Northern & Western,West,150,400,574,823,855,959,802,54
Commencement Notices,Carlow,Southern,South East,62,155,198,371,356,515,289,39
Commencement Notices,Cavan,Northern & Western,Border,126,263,281,287,312,357,364,28
Commencement Notices,Clare,Southern,Mid West,140,312,500,563,801,902,780,90
Commencement Notices,Cork,Southern,South West,523,1813,2768,3265,3734,4782,3374,382
Commencement Notices,Donegal,Northern & Western,Border,147,578,750,797,788,950,925,87
Commencement Notices,Dublin,Eastern & Midland,Dublin,1249,4788,6490,8148,9087,9959,8955,235
Commencement Notices,Galway,Northern & Western,West,280,855,1033,1465,1811,2147,1870,193
Commencement Notices,Kerry,Southern,South West,176,486,585,769,994,947,849,100
Commencement Notices,Kildare,Eastern & Midland,Mid East,331,1061,1387,1890,2267,2980,2098,182
Commencement Notices,Kilkenny,Southern,South East,108,306,445,505,717,722,723,36
Commencement Notices,Laois,Eastern & Midland,Midland,33,224,391,439,597,650,599,50
Commencement Notices,Leitrim,Northern & Western,Border,12,63,54,87,51,82,131,15
Commencement Notices,Limerick,Southern,Mid West,143,393,735,819,1028,955,986,116
Commencement Notices,Longford,Eastern & Midland,Midland,13,54,129,146,187,260,200,28
Commencement Notices,Louth,Eastern & Midland,Mid East,128,343,597,1018,1352,1217,1110,188
Commencement Notices,Meath,Eastern & Midland,Mid East,253,787,1664,2390,2657,2744,1565,314
Commencement Notices,Monaghan,Northern & Western,Border,96,204,278,400,593,507,568,21
Commencement Notices,Offaly,Eastern & Midland,Midland,54,225,287,291,381,522,547,15
Commencement Notices,Roscommon,Northern & Western,West,51,126,215,294,301,436,319,24
Commencement Notices,Sligo,Northern & Western,Border,57,120,224,283,340,242,313,6
Commencement Notices,Tipperary,Southern,Mid West,105,279,384,465,657,604,543,41
Commencement Notices,Waterford,Southern,South East,171,315,473,524,707,1025,712,32
Commencement Notices,Westmeath,Eastern & Midland,Midland,45,168,216,391,605,584,442,38
Commencement Notices,Wexford,Southern,South East,195,508,652,987,1172,1197,1126,88
Commencement Notices,Wicklow,Eastern & Midland,Mid East,229,612,780,890,1576,1241,1146,7
