Housing_or_CommNotices,County,Region,Subregion,Year,Value
All households,Mayo,Northern & Western,West,2016,65921
All households,Carlow,Southern,South East,2016,23274
All households,Cavan,Northern & Western,Border,2016,33585
All households,Clare,Southern,Mid West,2016,55779
All households,Cork,Southern,South West,2016,229495
All households,Donegal,Northern & Western,Border,2016,83931
All households,Dublin,Eastern & Midland,Dublin,2016,530753
All households,Galway,Northern & Western,West,2016,112054
All households,Kerry,Southern,South West,2016,74094
All households,Kildare,Eastern & Midland,Mid East,2016,80158
All households,Kilkenny,Southern,South East,2016,39226
All households,Laois,Eastern & Midland,Midland,2016,32794
All households,Leitrim,Northern & Western,Border,2016,18051
All households,Limerick,Southern,Mid West,2016,82112
All households,Longford,Eastern & Midland,Midland,2016,18591
All households,Louth,Eastern & Midland,Mid East,2016,51399
All households,Meath,Eastern & Midland,Mid East,2016,70649
All households,Monaghan,Northern & Western,Border,2016,25311
All households,Offaly,Eastern & Midland,Midland,2016,30740
All households,Roscommon,Northern & Western,West,2016,31285
All households,Sligo,Northern & Western,Border,2016,32764
All households,State,State,State,2016,2003645
All households,Tipperary,Southern,Mid West,2016,69106
All households,Waterford,Southern,South East,2016,52491
All households,Westmeath,Eastern & Midland,Midland,2016,36890
All households,Wexford,Southern,South East,2016,68206
All households,Wicklow,Eastern & Midland,Mid East,2016,54986
All households,Mayo,Northern & Western,West,2017,66744
All households,Carlow,Southern,South East,2017,23645
All households,Cavan,Northern & Western,Border,2017,33872
All households,Clare,Southern,Mid West,2017,56342
All households,Cork,Southern,South West,2017,59025
All households,Donegal,Northern & Western,Border,2017,84728
All households,Dublin,Eastern & Midland,Dublin,2017,594105
All households,Galway,Northern & Western,West,2017,35312
All households,Kerry,Southern,South West,2017,74863
All households,Kildare,Eastern & Midland,Mid East,2017,82048
All households,Kilkenny,Southern,South East,2017,39731
All households,Laois,Eastern & Midland,Midland,2017,33233
All households,Leitrim,Northern & Western,Border,2017,18138
All households,Limerick,Southern,Mid West,2017,82931
