Region,Subregion,Retailer,Suma de Stores
Eastern & Midland,Dublin,Aldi,25
Eastern & Midland,Mid East,Aldi,23
Eastern & Midland,Midland,Aldi,8
Northern & Western,Border,Aldi,10
Northern & Western,West,Aldi,14
Southern,Mid West,Aldi,15
Southern,South East,Aldi,21
Southern,South West,Aldi,35
Eastern & Midland,Dublin,Lidl,71
Eastern & Midland,Mid East,Lidl,12
Eastern & Midland,Midland,Lidl,7
Northern & Western,Border,Lidl,16
Northern & Western,West,Lidl,12
Southern,Mid West,Lidl,15
Southern,South East,Lidl,11
Southern,South West,Lidl,25
