Region,Subregion,Retailer,Suma de Stores
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Mid East,Aldi,1
Eastern & Midland,Midland,Aldi,1
Eastern & Midland,Midland,Aldi,1
Eastern & Midland,Midland,Aldi,1
Eastern & Midland,Midland,Aldi,1
Eastern & Midland,Midland,Aldi,1
Eastern & Midland,Midland,Aldi,1
Eastern & Midland,Midland,Aldi,1
Eastern & Midland,Midland,Aldi,1
Northern & Western,Border,Aldi,1
Northern & Western,Border,Aldi,1
Northern & Western,Border,Aldi,1
Northern & Western,Border,Aldi,1
Northern & Western,Border,Aldi,1
Northern & Western,Border,Aldi,1
Northern & Western,Border,Aldi,1
Northern & Western,Border,Aldi,1
Northern & Western,Border,Aldi,1
Northern & Western,Border,Aldi,1
Northern & Western,West,Aldi,1
Northern & Western,West,Aldi,1
Northern & Western,West,Aldi,1
Northern & Western,West,Aldi,1
Northern & Western,West,Aldi,1
Northern & Western,West,Aldi,1
Northern & Western,West,Aldi,1
Northern & Western,West,Aldi,1
Northern & Western,West,Aldi,1
Northern & Western,West,Aldi,1
Northern & Western,West,Aldi,1
Northern & Western,West,Aldi,1
Northern & Western,West,Aldi,1
Northern & Western,West,Aldi,1
Southern,Mid West,Aldi,1
Southern,Mid West,Aldi,1
Southern,Mid West,Aldi,1
Southern,Mid West,Aldi,1
Southern,Mid West,Aldi,1
Southern,Mid West,Aldi,1
Southern,Mid West,Aldi,1
Southern,Mid West,Aldi,1
Southern,Mid West,Aldi,1
Southern,Mid West,Aldi,1
Southern,Mid West,Aldi,1
Southern,Mid West,Aldi,1
Southern,Mid West,Aldi,1
Southern,Mid West,Aldi,1
Southern,Mid West,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South East,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
Southern,South West,Aldi,1
