County,Region,Sub-region,Aldi,Lidl
Mayo,Northern & Western,West,4,4
Carlow,Southern,South East,4,2
Cavan,Northern & Western,Border,1,3
Clare,Southern,Mid West,4,4
Cork,Southern,South West,28,17
Donegal,Northern & Western,Border,6,9
Dublin,Eastern & Midland,Dublin,25,71
Galway,Northern & Western,West,9,7
Kerry,Southern,South West,7,8
Kildare,Eastern & Midland,Mid East,8,7
Kilkenny,Southern,South East,5,2
Laois,Eastern & Midland,Midland,2,3
Leitrim,Northern & Western,Border,1,1
Limerick,Southern,Mid West,3,3
Longford,Eastern & Midland,Midland,1,1
Louth,Eastern & Midland,Mid East,4,
Meath,Eastern & Midland,Mid East,7,2
Monaghan,Northern & Western,Border,1,1
Offaly,Eastern & Midland,Midland,1,3
Roscommon,Northern & Western,West,1,1
Sligo,Northern & Western,Border,1,2
Tipperary,Southern,Mid West,8,8
Waterford,Southern,South East,5,4
Westmeath,Eastern & Midland,Midland,4,
Wexford,Southern,South East,7,3
Wicklow,Eastern & Midland,Mid East,4,3
