County,Region,Subregion,Suma de T1_A1 (Age)0 - 14 years,Suma de T1_A2 (Age)15 - 24 years,Suma de T1_A3 (Age)25 - 34 years,Suma de T1_A4 (Age)35 - 44 years,Suma de T1_A5 (Age)45 - 54 years,Suma de T1_A6 (Age)55 - 64 years,Suma de T1_A7 (Age)65 years and over,Suma de T1_T (Age)Total,Suma de T6_SC1 (Social Class)Professional Workers,Suma de T6_SC2 (Social Class)Managerial and Technical,Suma de T6_SC3 (Social Class)Non-manual,Suma de T6_SC4 (Social Class)Skilled manual,Suma de T6_SC5 (Social Class)Semi-Skilled,Suma de T6_SC6 (Social Class)Unskilled,Suma de T6_SC7 (Social Class)All other gainfully occupied and unknown,Suma de T6_T (Social Class)Total,"Suma de T8_I1 (Industry)Agriculture,forestry and fishing","Suma de T8_I2 (Industry)Manufacturing,mining and quarrying",Suma de T8_I3 (Industry)Construction,"Suma de T8_I4 (Industry)Wholesale,Retail Trade","Suma de T8_I5 (Industry)Information and Communication, Financial",Suma de T8_I6 (Industry)Public Administration and Defence; Compulsory Social Security,"Suma de T8_I7 (Industry)Education,Human Health and Social Work Activities",Suma de T8_I8 (Industry)Other Service Activities,Suma de T8_I9 (Industry)Not stated
Mayo,Northern & Western,West,26429,12041,13460,17163,17542,16768,22680,126083,7514,31880,22449,20171,16153,4881,23035,126083,4379,7041,3111,12306,4285,2656,10012,2021,2843
Carlow,Southern,South East,12745,8371,7410,8424,7323,6069,7436,57778,3487,13627,9612,9294,6278,2738,12742,57778,1612,2821,1152,4823,2463,774,4109,742,2051
Cavan,Northern & Western,Border,17330,7204,8411,10077,9527,8220,10401,71170,3905,16500,12549,12966,9076,3162,13012,71170,3361,4523,1936,5881,2373,1079,4980,898,1840
Clare,Southern,Mid West,24689,10025,12041,16403,15526,13388,17704,109776,7806,30059,19087,17053,12478,3907,19386,109776,3399,7655,2271,10777,5876,2072,7014,1555,3408
Cork,Southern,South West,113728,68110,73625,85477,72549,58163,73895,545547,49214,152035,96623,77616,61776,17753,90530,545547,12065,36915,11734,51825,38210,10243,45595,8410,13844
Donegal,Northern & Western,Border,34523,16553,16745,21259,20425,17749,25009,152263,8178,35743,26950,24949,18913,6755,30775,152263,3933,4656,2997,13393,6071,2963,11777,2269,4125
Dublin,Eastern & Midland,Dublin,127390,137524,179681,163983,120741,88575,108000,925894,109212,302735,162920,90262,68729,25306,166730,925894,461,22977,11968,84446,162382,32426,94443,20715,36244
Fingal,Eastern & Midland,Dublin,70282,27083,41428,47953,34531,24697,26805,272779,21471,83964,49057,38982,25779,9299,44227,272779,1204,10393,6027,41322,23464,4398,17428,4249,10842
Galway,Northern & Western,West,53921,35851,34091,40503,33273,27665,34408,259712,22799,72475,42421,33826,30726,8222,49243,259712,5606,17161,5616,23459,14774,4228,24818,3928,7467
Kerry,Southern,South West,28777,14386,15775,20662,19963,18646,24762,142971,8827,35870,26032,22400,16148,5316,28378,142971,4839,5179,3156,15731,6250,2726,11222,2203,4697
